ERPset                                  bin    	channel	value  
s2630_ERP (CLEAN; REB)                   21      	63      	 1.910
s2630_ERP (CLEAN; REB)                   23      	58      	 3.446
s2630_ERP (CLEAN; REB)                   23      	59      	 2.192
s2630_ERP (CLEAN; REB)                   23      	60      	 0.531
s2630_ERP (CLEAN; REB)                   23      	62      	 0.767
s2630_ERP (CLEAN; REB)                   23      	63      	 2.568
s2630_ERP (CLEAN; REB)                   24      	58      	 3.432
s2630_ERP (CLEAN; REB)                   24      	59      	 2.112
s2630_ERP (CLEAN; REB)                   24      	60      	 0.480
s2630_ERP (CLEAN; REB)                   24      	62      	 0.566
s2630_ERP (CLEAN; REB)                   24      	63      	 2.498
s2632_ERP (CLEAN; REB)                   20      	58      	 0.999
s2632_ERP (CLEAN; REB)                   20      	59      	 1.339
s2632_ERP (CLEAN; REB)                   20      	60      	 1.735
s2632_ERP (CLEAN; REB)                   20      	62      	 1.486
s2632_ERP (CLEAN; REB)                   20      	63      	 1.186
s2632_ERP (CLEAN; REB)                   21      	58      	 0.732
s2632_ERP (CLEAN; REB)                   21      	59      	 0.737
s2632_ERP (CLEAN; REB)                   21      	60      	 1.147
s2632_ERP (CLEAN; REB)                   21      	62      	 0.734
s2632_ERP (CLEAN; REB)                   21      	63      	 0.484
s2632_ERP (CLEAN; REB)                   23      	58      	 2.892
s2632_ERP (CLEAN; REB)                   23      	59      	 2.577
s2632_ERP (CLEAN; REB)                   23      	60      	 2.244
s2632_ERP (CLEAN; REB)                   23      	62      	 2.236
s2632_ERP (CLEAN; REB)                   23      	63      	 2.468
s2632_ERP (CLEAN; REB)                   24      	58      	 2.086
s2632_ERP (CLEAN; REB)                   24      	59      	 1.804
s2632_ERP (CLEAN; REB)                   24      	60      	 1.526
s2632_ERP (CLEAN; REB)                   24      	62      	 1.414
s2632_ERP (CLEAN; REB)                   24      	63      	 1.621
s2633_ERP (CLEAN; REB)                   20      	58      	 0.392
s2633_ERP (CLEAN; REB)                   20      	59      	-0.648
s2633_ERP (CLEAN; REB)                   20      	60      	-0.657
s2633_ERP (CLEAN; REB)                   20      	62      	-1.092
s2633_ERP (CLEAN; REB)                   20      	63      	 0.246
s2633_ERP (CLEAN; REB)                   21      	58      	-0.012
s2633_ERP (CLEAN; REB)                   21      	59      	-0.985
s2633_ERP (CLEAN; REB)                   21      	60      	-1.004
s2633_ERP (CLEAN; REB)                   21      	62      	-1.473
s2633_ERP (CLEAN; REB)                   21      	63      	-0.469
s2633_ERP (CLEAN; REB)                   23      	58      	 0.909
s2633_ERP (CLEAN; REB)                   23      	59      	-0.324
s2633_ERP (CLEAN; REB)                   23      	60      	-0.348
s2633_ERP (CLEAN; REB)                   23      	62      	-0.357
s2633_ERP (CLEAN; REB)                   23      	63      	 0.898
s2633_ERP (CLEAN; REB)                   24      	58      	 0.727
s2633_ERP (CLEAN; REB)                   24      	59      	-0.641
s2633_ERP (CLEAN; REB)                   24      	60      	-0.580
s2633_ERP (CLEAN; REB)                   24      	62      	-0.656
s2633_ERP (CLEAN; REB)                   24      	63      	 0.978
s2641_ERP (CLEAN; REB)                   20      	58      	 1.582
s2641_ERP (CLEAN; REB)                   20      	59      	 1.752
s2641_ERP (CLEAN; REB)                   20      	60      	 1.596
s2641_ERP (CLEAN; REB)                   20      	62      	 0.977
s2641_ERP (CLEAN; REB)                   20      	63      	 1.445
s2641_ERP (CLEAN; REB)                   21      	58      	 1.300
s2641_ERP (CLEAN; REB)                   21      	59      	 1.078
s2641_ERP (CLEAN; REB)                   21      	60      	 0.715
s2641_ERP (CLEAN; REB)                   21      	62      	 0.197
s2641_ERP (CLEAN; REB)                   21      	63      	 1.105
s2641_ERP (CLEAN; REB)                   23      	58      	 1.996
s2641_ERP (CLEAN; REB)                   23      	59      	 1.399
s2641_ERP (CLEAN; REB)                   23      	60      	 0.768
s2641_ERP (CLEAN; REB)                   23      	62      	 0.021
s2641_ERP (CLEAN; REB)                   23      	63      	 1.149
s2641_ERP (CLEAN; REB)                   24      	58      	 1.722
s2641_ERP (CLEAN; REB)                   24      	59      	 1.248
s2641_ERP (CLEAN; REB)                   24      	60      	 0.690
s2641_ERP (CLEAN; REB)                   24      	62      	 0.523
s2641_ERP (CLEAN; REB)                   24      	63      	 1.269
s2643_ERP (CLEAN; REB)                   20      	58      	 0.036
s2643_ERP (CLEAN; REB)                   20      	59      	 0.259
s2643_ERP (CLEAN; REB)                   20      	60      	 0.493
s2643_ERP (CLEAN; REB)                   20      	62      	 0.124
s2643_ERP (CLEAN; REB)                   20      	63      	-0.623
s2643_ERP (CLEAN; REB)                   21      	58      	 0.963
s2643_ERP (CLEAN; REB)                   21      	59      	 1.150
s2643_ERP (CLEAN; REB)                   21      	60      	 1.140
s2643_ERP (CLEAN; REB)                   21      	62      	 1.173
s2643_ERP (CLEAN; REB)                   21      	63      	 0.780
s2643_ERP (CLEAN; REB)                   23      	58      	 1.646
s2643_ERP (CLEAN; REB)                   23      	59      	 1.508
s2643_ERP (CLEAN; REB)                   23      	60      	 1.121
s2643_ERP (CLEAN; REB)                   23      	62      	 1.327
s2643_ERP (CLEAN; REB)                   23      	63      	 1.175
s2643_ERP (CLEAN; REB)                   24      	58      	 1.885
s2643_ERP (CLEAN; REB)                   24      	59      	 1.342
s2643_ERP (CLEAN; REB)                   24      	60      	 0.876
s2643_ERP (CLEAN; REB)                   24      	62      	 1.227
s2643_ERP (CLEAN; REB)                   24      	63      	 1.112
s2646_ERP (CLEAN; REB)                   20      	58      	 2.088
s2646_ERP (CLEAN; REB)                   20      	59      	 1.501
s2646_ERP (CLEAN; REB)                   20      	60      	 0.829
s2646_ERP (CLEAN; REB)                   20      	62      	 0.875
s2646_ERP (CLEAN; REB)                   20      	63      	 1.346
s2646_ERP (CLEAN; REB)                   21      	58      	 2.028
s2646_ERP (CLEAN; REB)                   21      	59      	 1.885
s2646_ERP (CLEAN; REB)                   21      	60      	 1.429
s2646_ERP (CLEAN; REB)                   21      	62      	 1.486
s2646_ERP (CLEAN; REB)                   21      	63      	 1.816
s2646_ERP (CLEAN; REB)                   23      	58      	 3.108
s2646_ERP (CLEAN; REB)                   23      	59      	 1.350
s2646_ERP (CLEAN; REB)                   23      	60      	 0.155
s2646_ERP (CLEAN; REB)                   23      	62      	-0.440
s2646_ERP (CLEAN; REB)                   23      	63      	 1.856
s2646_ERP (CLEAN; REB)                   24      	58      	 1.603
s2646_ERP (CLEAN; REB)                   24      	59      	 0.190
s2646_ERP (CLEAN; REB)                   24      	60      	-0.452
s2646_ERP (CLEAN; REB)                   24      	62      	-1.458
s2646_ERP (CLEAN; REB)                   24      	63      	 0.149
s2647_ERP (CLEAN; REB)                   20      	58      	 2.480
s2647_ERP (CLEAN; REB)                   20      	59      	 1.589
s2647_ERP (CLEAN; REB)                   20      	60      	 0.405
s2647_ERP (CLEAN; REB)                   20      	62      	 0.546
s2647_ERP (CLEAN; REB)                   20      	63      	 2.049
s2647_ERP (CLEAN; REB)                   21      	58      	 2.907
s2647_ERP (CLEAN; REB)                   21      	59      	 1.655
s2647_ERP (CLEAN; REB)                   21      	60      	 0.579
s2647_ERP (CLEAN; REB)                   21      	62      	 0.838
s2647_ERP (CLEAN; REB)                   21      	63      	 2.185
s2647_ERP (CLEAN; REB)                   23      	58      	 3.262
s2647_ERP (CLEAN; REB)                   23      	59      	 2.704
s2647_ERP (CLEAN; REB)                   23      	60      	 0.910
s2647_ERP (CLEAN; REB)                   23      	62      	 0.977
s2647_ERP (CLEAN; REB)                   23      	63      	 2.887
s2647_ERP (CLEAN; REB)                   24      	58      	 3.640
s2647_ERP (CLEAN; REB)                   24      	59      	 2.565
s2647_ERP (CLEAN; REB)                   24      	60      	 1.162
s2647_ERP (CLEAN; REB)                   24      	62      	 1.399
s2647_ERP (CLEAN; REB)                   24      	63      	 2.957
s2649_ERP (CLEAN; REB)                   20      	58      	 0.535
s2649_ERP (CLEAN; REB)                   20      	59      	 0.721
s2649_ERP (CLEAN; REB)                   20      	60      	 0.489
s2649_ERP (CLEAN; REB)                   20      	62      	 0.464
s2649_ERP (CLEAN; REB)                   20      	63      	 0.404
s2649_ERP (CLEAN; REB)                   21      	58      	 0.027
s2649_ERP (CLEAN; REB)                   21      	59      	 0.045
s2649_ERP (CLEAN; REB)                   21      	60      	-0.002
s2649_ERP (CLEAN; REB)                   21      	62      	-0.211
s2649_ERP (CLEAN; REB)                   21      	63      	-0.049
s2649_ERP (CLEAN; REB)                   23      	58      	 1.051
s2649_ERP (CLEAN; REB)                   23      	59      	 0.511
s2649_ERP (CLEAN; REB)                   23      	60      	-0.063
s2649_ERP (CLEAN; REB)                   23      	62      	-0.406
s2649_ERP (CLEAN; REB)                   23      	63      	 0.849
s2649_ERP (CLEAN; REB)                   24      	58      	 1.161
s2649_ERP (CLEAN; REB)                   24      	59      	 1.102
s2649_ERP (CLEAN; REB)                   24      	60      	 0.409
s2649_ERP (CLEAN; REB)                   24      	62      	-0.092
s2649_ERP (CLEAN; REB)                   24      	63      	 0.897
s2650_ERP (CLEAN; REB)                   20      	58      	 0.319
s2650_ERP (CLEAN; REB)                   20      	59      	 0.614
s2650_ERP (CLEAN; REB)                   20      	60      	 0.737
s2650_ERP (CLEAN; REB)                   20      	62      	 0.634
s2650_ERP (CLEAN; REB)                   20      	63      	 0.481
s2650_ERP (CLEAN; REB)                   21      	58      	 0.245
s2650_ERP (CLEAN; REB)                   21      	59      	 0.657
s2650_ERP (CLEAN; REB)                   21      	60      	 0.615
s2650_ERP (CLEAN; REB)                   21      	62      	 0.830
s2650_ERP (CLEAN; REB)                   21      	63      	 0.559
s2650_ERP (CLEAN; REB)                   23      	58      	 0.004
s2650_ERP (CLEAN; REB)                   23      	59      	 0.100
s2650_ERP (CLEAN; REB)                   23      	60      	 0.393
s2650_ERP (CLEAN; REB)                   23      	62      	 0.180
s2650_ERP (CLEAN; REB)                   23      	63      	 0.031
s2650_ERP (CLEAN; REB)                   24      	58      	-0.243
s2650_ERP (CLEAN; REB)                   24      	59      	-0.043
s2650_ERP (CLEAN; REB)                   24      	60      	 0.369
s2650_ERP (CLEAN; REB)                   24      	62      	 0.019
s2650_ERP (CLEAN; REB)                   24      	63      	-0.207
s2651_ERP (CLEAN; REB)                   20      	58      	 1.032
s2651_ERP (CLEAN; REB)                   20      	59      	 1.270
s2651_ERP (CLEAN; REB)                   20      	60      	 0.915
s2651_ERP (CLEAN; REB)                   20      	62      	 0.918
s2651_ERP (CLEAN; REB)                   20      	63      	 0.851
s2651_ERP (CLEAN; REB)                   21      	58      	 0.968
s2651_ERP (CLEAN; REB)                   21      	59      	 0.946
s2651_ERP (CLEAN; REB)                   21      	60      	 0.152
s2651_ERP (CLEAN; REB)                   21      	62      	 0.311
s2651_ERP (CLEAN; REB)                   21      	63      	 0.765
s2651_ERP (CLEAN; REB)                   23      	58      	 1.031
